time	Zeff
264.6	2.040751879
264.8	2.275387664
265	2.256430666
265.2	2.116665638
265.4	2.304135394
265.6	2.183753302
265.8	2.126628041
266	2.053599317
266.2	2.067027491
266.4	2.236058825
266.6	2.054540298
266.8	2.098432426
267	2.14267261
267.2	2.100489603
267.4	2.100087028
267.6	2.11879702
267.8	2.167745686
268	2.160944971
268.2	2.21334974
268.4	2.329326123
268.6	2.366305309
268.8	2.395587804
269	2.510525252
269.2	2.308912136
269.4	2.309035424
269.6	2.412376047
269.8	2.495014054
270	2.487500915
270.2	2.486886508
270.4	2.35289911
270.6	2.385614764
270.8	2.333442631
271	2.36050541
271.2	2.30095942
271.4	2.22107003
271.6	2.346470152
271.8	2.232397507
272	2.344278952
272.2	2.301913636
272.4	2.199049247
272.6	2.275196746
272.8	2.145131648
273	2.244879423
273.2	2.126847544
273.4	2.053405195
273.6	2.028104334
273.8	2.064882287
274	1.935575189
274.2	1.933291849
274.4	2.00980482
274.6	1.924729251
274.8	1.999795059
275	2.094755004
275.2	1.998945407
275.4	2.061117559
275.6	2.144326282
275.8	1.983495523
276	2.050076155
276.2	2.017073197
276.4	2.048113108
276.6	2.130795499
276.8	2.020844651
277	1.995824809
277.2	2.104188163
277.4	2.054873585
277.6	2.081277622
277.8	2.054575451
278	1.929685769
278.2	2.071036995
278.4	2.026207919
278.6	2.067219487
278.8	2.03943155
279	2.116474359
279.2	2.020559568
279.4	1.996496452
279.6	1.944938635
279.8	1.953450315
280	2.031971998
280.2	2.025558941
280.4	1.991497734
280.6	1.999840136
280.8	2.009707716
281	2.160429951
281.2	2.04531157
281.4	2.046443628
281.6	2.147876345
281.8	2.164327368
282	1.96152112
282.2	2.085366776
282.4	2.036794154
282.6	1.96560892
282.8	2.020909267
283	2.061827397
283.2	2.012985356
283.4	2.081490504
283.6	1.894138735
283.8	1.923458407
284	1.989278745
284.2	2.053202271
284.4	2.153180095
284.6	2.034101289
284.8	2.020619646
285	1.986712783
285.2	2.041781636
285.4	1.935377269
285.6	2.036814989
285.8	2.084512117
286	1.961729348
286.2	2.11334586
286.4	1.934121513
286.6	1.85509088
286.8	1.927625643
287	1.802248597
287.2	1.912716276
287.4	1.922677236
287.6	1.832751035
